epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,4485.56,1.07102,0.87012,0.07753,0.02923,0.73696,0.70142,0.75629,0.54011,1.11346,1.07189,0.1066,0.01412,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941
43,4584.27,1.05017,0.8885,0.06693,0.02809,0.76762,0.67318,0.73307,0.52685,1.09794,1.09362,0.10597,0.01162,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
44,4682.74,1.06844,0.86887,0.07199,0.02971,0.73864,0.68404,0.74045,0.54317,1.11554,1.0641,0.10536,0.01285,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743
45,4781.05,1.06889,0.84808,0.07695,0.03044,0.6995,0.70972,0.74093,0.53738,1.13336,1.0994,0.12497,0.01444,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
46,4879.3,1.06082,0.84161,0.08197,0.02751,0.74289,0.73144,0.74989,0.54346,1.13812,1.11438,0.12088,0.01466,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
47,4977.52,1.07658,0.82634,0.08421,0.02834,0.69404,0.74724,0.73825,0.53711,1.09572,1.07344,0.11571,0.01338,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
48,5077.76,1.05374,0.84262,0.07682,0.02736,0.73677,0.75355,0.76497,0.55868,1.08949,1.04684,0.11055,0.01403,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347
49,5174.34,1.05256,0.84088,0.08476,0.02971,0.76151,0.73776,0.77046,0.55197,1.1254,1.04137,0.12846,0.01272,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
50,5269.18,1.05184,0.80581,0.0839,0.03145,0.73711,0.73776,0.75286,0.54082,1.1293,1.0303,0.1273,0.01413,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149
51,5365.59,1.02393,0.78897,0.082,0.02875,0.71389,0.73316,0.73451,0.53811,1.10831,1.13034,0.12082,0.01366,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
52,5462.87,1.03939,0.7933,0.08027,0.02686,0.7122,0.7584,0.7564,0.54772,1.12551,1.05286,0.10664,0.01376,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951
53,5559.15,1.0278,0.75951,0.07461,0.02563,0.78212,0.68088,0.76661,0.56466,1.08917,1.06802,0.10669,0.01608,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
54,5667.6,1.03615,0.78472,0.07605,0.02885,0.71295,0.74566,0.75895,0.55584,1.07622,1.07843,0.10908,0.0131,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753
55,5763.18,1.03083,0.78994,0.07291,0.02643,0.77851,0.72739,0.78279,0.5691,1.08878,1.03506,0.10954,0.0145,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
56,5859.03,1.01572,0.77136,0.0761,0.02644,0.72106,0.74731,0.75106,0.55856,1.09777,1.03665,0.10426,0.0137,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
57,5954.41,1.02046,0.80215,0.07014,0.02507,0.73782,0.7267,0.75384,0.54069,1.09289,1.02193,0.10249,0.01317,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
58,6052.23,1.00906,0.79174,0.07338,0.02564,0.706,0.7109,0.74931,0.54646,1.10077,1.1063,0.11613,0.01202,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357
59,6161.78,1.01619,0.80302,0.07293,0.0242,0.72892,0.72986,0.73962,0.535,1.1249,1.03819,0.10957,0.01164,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
60,6278.21,1.0105,0.77912,0.07579,0.02577,0.75583,0.73352,0.78496,0.57161,1.06698,0.99962,0.10774,0.01018,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159
61,6375.24,1.01256,0.76672,0.07265,0.02384,0.74657,0.6793,0.74187,0.55741,1.04659,1.06243,0.10955,0.01082,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
62,6470.71,0.98975,0.75522,0.07327,0.02479,0.76301,0.69668,0.74883,0.55077,1.0439,1.06591,0.11088,0.01106,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961
63,6566.29,0.99659,0.76287,0.07773,0.02468,0.77503,0.71295,0.76154,0.55809,1.11252,1.01548,0.11013,0.01208,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
64,6662.22,0.98333,0.74295,0.0709,0.02497,0.7171,0.7267,0.737,0.5416,1.12529,1.06941,0.10832,0.01524,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763
65,6758.02,0.9941,0.71801,0.07606,0.02328,0.72235,0.75671,0.76704,0.57317,1.06295,1.04106,0.11051,0.01398,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
66,6853.56,0.99455,0.74295,0.08014,0.02403,0.74575,0.69352,0.73715,0.53867,1.13025,1.11999,0.11038,0.0145,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
67,6964.85,1.00236,0.74556,0.07399,0.02664,0.7208,0.72986,0.74926,0.56299,1.07954,1.0323,0.11015,0.01125,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
68,7059.69,0.97492,0.74297,0.07223,0.02235,0.73537,0.72436,0.73798,0.54137,1.10112,1.1068,0.10975,0.01312,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367
69,7165.37,0.98565,0.72516,0.07441,0.0267,0.7662,0.66193,0.73235,0.54502,1.13401,1.14293,0.11069,0.01241,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
70,7260.49,0.98333,0.72733,0.07965,0.0226,0.75516,0.73088,0.75578,0.54851,1.11794,1.06572,0.10707,0.01358,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169
71,7377.49,0.98846,0.71822,0.07503,0.02431,0.78425,0.75197,0.78478,0.58011,1.07649,0.95704,0.11192,0.0129,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
72,7474.93,0.99747,0.71087,0.08081,0.02348,0.77361,0.72196,0.76432,0.56344,1.07433,1.01986,0.1133,0.01478,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971
73,7609.78,1.00204,0.74074,0.08115,0.02811,0.74953,0.75639,0.77549,0.57557,1.10748,1.0146,0.11364,0.01439,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
74,7708.02,0.98421,0.7475,0.07922,0.02489,0.74612,0.70932,0.76425,0.55494,1.10033,1.02855,0.1107,0.01346,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773
75,7805.79,0.98396,0.71263,0.07279,0.02511,0.75345,0.75039,0.77009,0.56134,1.08773,0.98918,0.10702,0.01161,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
76,7930.36,0.97519,0.72167,0.07546,0.02417,0.76601,0.7137,0.75507,0.55389,1.11272,1.03279,0.10798,0.0137,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
77,8027.48,0.97603,0.72312,0.07645,0.02355,0.74086,0.72038,0.75013,0.54175,1.13242,1.07118,0.11683,0.01336,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
78,8123.48,0.98743,0.71307,0.08371,0.02471,0.71254,0.73618,0.73995,0.54996,1.10104,1.05916,0.11886,0.01393,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377
79,8218.9,0.98238,0.73465,0.08417,0.02488,0.77658,0.68562,0.7614,0.55841,1.1361,1.13039,0.12632,0.01436,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
80,8315.04,0.99303,0.70512,0.07943,0.02537,0.71798,0.7109,0.72558,0.53632,1.10675,1.12089,0.11568,0.01473,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179
81,8412.22,0.97233,0.70658,0.07872,0.02518,0.75631,0.71094,0.76455,0.56617,1.11341,1.06441,0.11536,0.01501,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
82,8508.41,0.96724,0.69298,0.08005,0.02481,0.76141,0.71589,0.7638,0.56453,1.05241,1.041,0.11345,0.01159,0.0275943,0.0091981,0.0275943,0.0091981,0.0275943,0.0091981,0.0275943,0.0091981
83,8604.63,0.98278,0.68459,0.07997,0.02361,0.77767,0.71722,0.77642,0.57714,1.07016,1.04969,0.11196,0.01518,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
84,8701.06,0.97389,0.69973,0.07319,0.02654,0.74529,0.74882,0.74423,0.54211,1.07659,1.08223,0.10227,0.01001,0.0275349,0.0091783,0.0275349,0.0091783,0.0275349,0.0091783,0.0275349,0.0091783
85,8796.99,0.97187,0.69924,0.07075,0.0257,0.76402,0.73654,0.77718,0.57502,1.06832,1.06509,0.10731,0.01346,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
86,8893.24,0.97277,0.71404,0.07613,0.02376,0.78461,0.72038,0.77125,0.5651,1.08797,1.07529,0.10329,0.01771,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
87,8992.34,0.94833,0.65995,0.07265,0.02179,0.75187,0.74198,0.77649,0.57716,1.10796,1.02354,0.10523,0.01633,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
88,9100.29,0.96014,0.71215,0.07155,0.02432,0.71299,0.77567,0.76763,0.55932,1.10167,1.06083,0.10393,0.01536,0.0274161,0.0091387,0.0274161,0.0091387,0.0274161,0.0091387,0.0274161,0.0091387
89,9201.68,0.96303,0.66364,0.06633,0.02424,0.76821,0.73618,0.74621,0.54338,1.1041,1.06264,0.09782,0.014,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
90,9303.19,0.96113,0.69462,0.06808,0.02325,0.77727,0.71248,0.74676,0.54462,1.1003,1.09675,0.09543,0.01313,0.0273567,0.0091189,0.0273567,0.0091189,0.0273567,0.0091189,0.0273567,0.0091189
91,9404.84,0.97286,0.67825,0.06917,0.02483,0.74954,0.71722,0.73222,0.53822,1.10766,1.10333,0.10315,0.0143,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
92,9506.7,0.93275,0.66648,0.0738,0.02289,0.71698,0.72828,0.73297,0.5496,1.09806,1.15941,0.109,0.01129,0.0272973,0.0090991,0.0272973,0.0090991,0.0272973,0.0090991,0.0272973,0.0090991
93,9605.27,0.939,0.65967,0.07288,0.02118,0.7157,0.78989,0.76174,0.56491,1.08457,0.98255,0.10953,0.01241,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
94,9713.18,0.95388,0.67237,0.07556,0.02171,0.77896,0.72512,0.7588,0.5631,1.08313,1.04145,0.10909,0.01239,0.0272379,0.0090793,0.0272379,0.0090793,0.0272379,0.0090793,0.0272379,0.0090793
95,9818.9,0.93434,0.6697,0.07454,0.02246,0.79098,0.69352,0.75516,0.56612,1.08582,1.06192,0.10624,0.01445,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
96,9921.46,0.96753,0.70121,0.07615,0.02248,0.75315,0.75039,0.75285,0.55554,1.10979,1.00484,0.10652,0.01488,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
97,10026.8,0.96035,0.67102,0.06963,0.02161,0.75225,0.72433,0.74683,0.55552,1.12155,1.03453,0.09684,0.01623,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
98,10219.2,0.96333,0.67943,0.06703,0.02218,0.75192,0.7326,0.75851,0.56455,1.09103,0.97644,0.08476,0.01352,0.0271191,0.0090397,0.0271191,0.0090397,0.0271191,0.0090397,0.0271191,0.0090397
99,10404.3,0.95012,0.69054,0.06402,0.02272,0.74634,0.70187,0.72345,0.5234,1.10206,1.1005,0.08749,0.01305,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
100,10503.1,0.95092,0.69598,0.0665,0.0227,0.76651,0.71722,0.74367,0.54232,1.08749,1.14771,0.10114,0.01219,0.0270597,0.0090199,0.0270597,0.0090199,0.0270597,0.0090199,0.0270597,0.0090199
101,10608,0.95887,0.67839,0.06905,0.02493,0.77674,0.73302,0.77054,0.57349,1.09613,1.0332,0.10279,0.01076,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
102,10772.7,0.93943,0.65938,0.07008,0.02245,0.75381,0.76461,0.76674,0.56905,1.08197,1.00251,0.10304,0.01127,0.0270003,0.0090001,0.0270003,0.0090001,0.0270003,0.0090001,0.0270003,0.0090001
103,10992.9,0.92809,0.63818,0.07317,0.02031,0.76661,0.75241,0.76674,0.56404,1.03716,1.00973,0.10175,0.01326,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
104,11095.7,0.945,0.63833,0.06641,0.02363,0.76879,0.72828,0.76363,0.54839,1.10911,0.99731,0.10325,0.01553,0.0269409,0.0089803,0.0269409,0.0089803,0.0269409,0.0089803,0.0269409,0.0089803
105,11191.3,0.93105,0.63939,0.07265,0.02197,0.81066,0.68246,0.75807,0.56554,1.06375,1.07012,0.1043,0.01637,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
106,11288.5,0.93129,0.62275,0.0714,0.02368,0.78799,0.703,0.77852,0.57562,1.07156,1.06023,0.1096,0.01251,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
107,11388.8,0.89605,0.60909,0.0743,0.02207,0.75256,0.75987,0.77602,0.58886,1.08212,1.02067,0.10918,0.01388,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
108,11488,0.92223,0.59818,0.0738,0.02394,0.81027,0.70458,0.76916,0.57793,1.09275,1.06244,0.10589,0.01831,0.0268221,0.0089407,0.0268221,0.0089407,0.0268221,0.0089407,0.0268221,0.0089407
109,11585.8,0.93309,0.64169,0.07407,0.021,0.76246,0.72511,0.7611,0.57016,1.07976,1.08748,0.10233,0.01407,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
110,11751.6,0.93847,0.64325,0.06937,0.02454,0.7786,0.73891,0.76429,0.56463,1.11223,0.97737,0.10172,0.01299,0.0267627,0.0089209,0.0267627,0.0089209,0.0267627,0.0089209,0.0267627,0.0089209
111,12004.4,0.89857,0.62634,0.07295,0.01914,0.77412,0.75829,0.7473,0.55566,1.07916,1.06049,0.10352,0.01505,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
112,12171,0.91997,0.62169,0.07309,0.0223,0.77596,0.76619,0.78026,0.57022,1.10623,1.01327,0.10794,0.0176,0.0267033,0.0089011,0.0267033,0.0089011,0.0267033,0.0089011,0.0267033,0.0089011
113,12273.4,0.90708,0.62914,0.07571,0.02185,0.81958,0.70616,0.78723,0.58134,1.08824,1.06308,0.10421,0.01532,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
114,12376.7,0.91065,0.61075,0.06882,0.0213,0.76119,0.72512,0.76214,0.57021,1.10189,1.08808,0.10332,0.01505,0.0266439,0.0088813,0.0266439,0.0088813,0.0266439,0.0088813,0.0266439,0.0088813
115,12478,0.91049,0.62565,0.07007,0.02177,0.748,0.73618,0.77909,0.58083,1.06401,1.02156,0.10439,0.01266,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
116,12576.6,0.92094,0.62482,0.07683,0.02226,0.78941,0.71248,0.76424,0.56481,1.10512,1.04398,0.11292,0.0127,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
117,12675.8,0.91281,0.62333,0.08199,0.0222,0.75755,0.6951,0.7487,0.5587,1.12539,1.08894,0.11356,0.01623,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
118,12774.1,0.91382,0.62516,0.07699,0.02155,0.71971,0.7425,0.76444,0.57655,1.14454,1.12561,0.11223,0.01736,0.0265251,0.0088417,0.0265251,0.0088417,0.0265251,0.0088417,0.0265251,0.0088417
